"Date";"Designation";"Day of the week";"Calendar week";
"26.05.2023";"Shavuot (Pentecost)";"Fri";"week 21"
"27.05.2023";"Shavuot (Pentecost)";"Sat";"week 21"
"06.07.2023";"Seventeenth of Tammuz fast (Shiv'a Asar b'Tammuz)";"Thu";"week 27"
"27.07.2023";"Ninth of Av fast (Tish'a b'Av)";"Thu";"week 30"
"16.09.2023";"Rosh Hashana (New Year)";"Sat";"week 37"
"17.09.2023";"Rosh Hashana (New Year)";"Sun";"week 37"
"18.09.2023";"Fast Day of Gedaliah (Tzom Gedalya)";"Mon";"week 38"
"25.09.2023";"Day of Atonement (Yom Kippur)";"Mon";"week 39"
"30.09.2023";"Feast of Tabernacles (Sukkot)";"Sat";"week 39"
"01.10.2023";"Feast of Tabernacles (Sukkot)";"Sun";"week 39"
"02.10.2023";"Sukkot Chol Hamoed";"Mon";"week 40"
"03.10.2023";"Sukkot Chol Hamoed";"Tue";"week 40"
"04.10.2023";"Sukkot Chol Hamoed";"Wed";"week 40"
"05.10.2023";"Sukkot Chol Hamoed";"Thu";"week 40"
"06.10.2023";"Sukkot Chol Hamoed";"Fri";"week 40"
"07.10.2023";"Sh'mini Atzeret";"Sat";"week 40"
"08.10.2023";"Simchat Tora";"Sun";"week 40"
"08.12.2023";"Chanukka";"Fri";"week 49"
"09.12.2023";"Chanukka";"Sat";"week 49"
"10.12.2023";"Chanukka";"Sun";"week 49"
"11.12.2023";"Chanukka";"Mon";"week 50"
"12.12.2023";"Chanukka";"Tue";"week 50"
"13.12.2023";"Chanukka";"Wed";"week 50"
"14.12.2023";"Chanukka";"Thu";"week 50"
"15.12.2023";"Chanukka";"Fri";"week 50"
"22.12.2023";"Asara b'Tevet";"Fri";"week 51"
